Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
23,1517832035,Ricarica,47108.41728597058,3335.96066179642,1.4871052337092217,0.0,0.0
23,1517832035,Ricarica,50637.838412459874,3335.96066179642,1.3834550623410327,0.0,0.0
23,1517832035,Ricarica,51400.9363739099,3372.2986599607066,1.3777622910216243,0.0,0.0
23,1517832035,Ricarica,51859.235890824675,3260.6759496820177,1.3832612390206132,0.0,0.0
23,1517832035,Ricarica,52049.5941480023,3127.1838760948704,1.381859557745323,0.0,0.0
23,1517832035,Ricarica,52694.02764949346,3127.1838760948704,1.364959794468727,0.0,0.0
23,1517832035,Ricarica,56207.30882791981,3143.271263692015,1.3421477011035234,0.0,0.0
23,1517832035,Ricarica,59289.151153745326,3143.271263692015,1.2723830390653665,0.0,0.0
23,1517832035,Ricarica,60702.604967365885,3074.0785656891567,1.2660406284630623,0.0,0.0
23,1517832035,Ricarica,62172.50306026956,3074.0785656891567,1.2361085746817881,0.0,0.0
23,1517832035,Ricarica,63466.84135325735,3125.8520974086678,1.23129339303737,0.0,0.0
23,1517832035,Ricarica,63683.509961010466,3022.2938327201127,1.233908741820802,0.0,0.0
23,1517832035,Ricarica,63722.9877657557,2911.8191650173394,1.2337638301655018,0.0,0.0
23,1517832035,Ricarica,65326.30519572858,2911.8191650173394,1.2034833015568858,0.0,0.0
23,1517832035,Ricarica,65381.75702040145,2809.806045719323,1.2033107225245072,0.0,0.0
23,1517832035,Ricarica,66869.62609400935,2809.806045719323,1.1765367009759495,0.0,0.0
23,1517832035,Ricarica,69317.21605226275,2897.2199727998013,1.1703031924598815,0.0,0.0
23,1517832035,Ricarica,69449.36633860167,2806.4296486576645,1.1718819638219746,0.0,0.0
23,1517832035,Ricarica,71742.41073780449,2789.3168070091697,1.1663882402292955,0.0,0.0
23,1517832035,Ricarica,78884.06401303507,2789.3168070091697,1.0607909881068958,0.0,0.0
23,1517832035,Ricarica,81020.42184520414,2768.2536142723925,1.0591880428171812,0.0,0.0
23,1517832035,Ricarica,83414.83749357372,2768.2536142723925,1.0287841422583293,0.0,0.0
23,1517832035,Ricarica,84040.83077703134,2788.446945996832,1.02856973838396,0.0,0.0
23,1517832035,Ricarica,85730.49947199944,2897.4578295431606,1.0477157285800558,0.0,0.0
24,490323383,Ricarica,1283.8400320545231,NaN,0.0,0.0,0.0
24,490323383,Ricarica,3297.3524047015126,2013.5123726469894,0.6106451860517043,0.0,0.0
24,490323383,Ricarica,3953.3050230240237,2013.5123726469894,0.5093238090459263,0.0,0.0
24,490323383,Ricarica,5209.454316285285,1634.8308329541255,0.627639953706275,0.0,0.0
24,490323383,Ricarica,5229.5276839575035,1634.8308329541255,0.6252307786683133,0.0,0.0
24,490323383,Ricarica,5530.620942485065,1190.2516414786041,0.6456336388932435,0.0,0.0
24,490323383,Ricarica,6025.560577204972,1190.2516414786041,0.5926012822681055,0.0,0.0
24,490323383,Ricarica,6959.386236273307,1501.5268611680492,0.6472669328260063,0.0,0.0
