Seed,Center,Completion Time,Taken Time
519244943,Parcheggio,21630.756346188264,24621.827717792545
519244943,Parcheggio,21749.072065750894,24935.302367564127
519244943,Parcheggio,22122.710505213847,24950.563333805774
519244943,Parcheggio,22426.918547046807,24992.179052260435
519244943,Parcheggio,22608.938563452975,25155.524852084796
519244943,Parcheggio,22685.455183826103,25176.309635311987
519244943,Parcheggio,22822.080745797724,25214.10781692703
519244943,Parcheggio,22918.584164283482,25326.203386277688
519244943,Parcheggio,23256.75479149564,25359.226848077986
519244943,Parcheggio,23339.282802134832,25613.93570518056
519244943,Parcheggio,23419.275178316726,25689.043812482385
519244943,Parcheggio,23886.797618892077,25705.084063761766
519244943,Parcheggio,23899.67900464788,25752.224392210846
519244943,Parcheggio,24117.46175977845,25792.682887888743
519244943,Parcheggio,24270.06521166285,25799.966959677247
519244943,Parcheggio,24638.040356937912,26547.696916515844
519244943,Ricarica,25100.621257961157,26560.611268250355
519244943,Ricarica,25100.621257961157,27175.660692015314
519244943,Parcheggio,25100.621257961157,27242.26995465861
519244943,Parcheggio,25418.145214795608,27312.268339252405
519244943,Parcheggio,25555.298565519905,27515.9892637995
519244943,Parcheggio,25613.851759378573,27636.742613227903
519244943,Parcheggio,25943.141347287066,27679.532612175033
519244943,Parcheggio,26111.78568448632,27932.99062605423
519244943,Parcheggio,26339.86617966663,28751.13836608579
519244943,Parcheggio,26648.611837479828,29307.23303294728
519244943,Ricarica,27011.131948483413,29621.608039174833
519244943,Parcheggio,27011.131948483413,30407.772283483555
519244943,Ricarica,27173.35789620535,30850.8489312761
519244943,Parcheggio,27173.35789620535,31380.34433735952
519244943,Parcheggio,27361.04193778643,31465.22996316743
519244943,Parcheggio,27377.03383777933,31498.00576879197
519244943,Parcheggio,27547.87317395649,32093.015578191822
519244943,Parcheggio,27680.613169301923,32413.02408203953
519244943,Parcheggio,28266.38707440971,33015.068055958334
519244943,Parcheggio,28454.68969020733,33281.545243816036
519244943,Parcheggio,28600.08466621782,33605.866689843046
519244943,Parcheggio,28657.111069510116,34447.12987590537
519244943,Parcheggio,28671.196476821857,35511.128348963124
519244943,Parcheggio,28678.461743858865,35550.691807355455
519244943,Parcheggio,29093.735785217228,36961.19384878712
519244943,Parcheggio,29818.535912239535,37394.90065651247
519244943,Parcheggio,30354.28316622035,37441.24280230811
519244943,Parcheggio,30655.593701752416,37517.68165410415
519244943,Parcheggio,31182.515791211827,37661.37572992584
519244943,Parcheggio,31223.902729092897,37740.654744807594
519244943,Parcheggio,31385.245368649637,38469.13718177545
519244943,Parcheggio,31701.207974605266,38787.44127245381
519244943,Parcheggio,31934.812311324527,38845.07936870295
519244943,Parcheggio,31992.8328523991,39178.412691437545
519244943,Parcheggio,32352.850225303457,39401.570649531706
519244943,Parcheggio,32520.55442566423,40355.331614621435
519244943,Parcheggio,32627.52970317267,40361.012163877174
519244943,Parcheggio,33893.63902248926,40524.491767755666
519244943,Parcheggio,34050.37555545945,41148.59335400906
519244943,Parcheggio,34312.53471339159,41378.59038879214
519244943,Parcheggio,34532.860511271654,41393.94041576061
519244943,Parcheggio,34787.89921628346,41806.168140494505
519244943,Parcheggio,36395.492869078276,42601.246987021026
519244943,Parcheggio,36474.93846235319,42804.13703453096
519244943,Parcheggio,36638.03968742903,42980.38722511363
519244943,Parcheggio,36793.199310515876,43014.05597942645
519244943,Parcheggio,37059.77582741833,43209.74050270695
519244943,Parcheggio,37766.08144106752,43640.34433335627
519244943,Parcheggio,38246.87982872453,43722.51945981068
519244943,Parcheggio,38456.058961928924,44748.08560106243
519244943,Parcheggio,38873.7492397188,45065.4143909742
519244943,Parcheggio,39009.16763445398,45509.5739984414
519244943,Ricarica,39439.34590045756,45746.232097557775
519244943,Parcheggio,39439.34590045756,45940.27967340072
519244943,Parcheggio,40121.70934484598,46006.69617079578
519244943,Parcheggio,40772.213190417555,46140.22739831393
519244943,Parcheggio,41529.829947395854,47556.6463252594
519244943,Parcheggio,41555.810899855474,47576.81416267252
519244943,Parcheggio,41569.63693271917,47729.65538393315
519244943,Parcheggio,41629.81285277968,47772.254602713605
519244943,Parcheggio,41854.458420529154,48643.84287005422
519244943,Parcheggio,42108.8850261106,50611.96824117049
519244943,Parcheggio,42288.34814366959,50764.344226154804
519244943,Ricarica,42761.315420621606,50803.290811695115
519244943,Parcheggio,42761.315420621606,51518.86641712819
519244943,Parcheggio,42798.85618503264,51931.897590034285
519244943,Parcheggio,43417.582074225174,53392.075939987684
519244943,Parcheggio,43476.37098996821,53654.56802703248
519244943,Parcheggio,43668.750757624,53674.32184247822
519244943,Parcheggio,43769.20596462115,54162.94172506806
519244943,Parcheggio,44181.0102558117,54219.66214155734
519244943,Parcheggio,44214.65170091532,54386.431047838516
519244943,Parcheggio,44290.00733087357,54848.49112720106
519244943,Parcheggio,45136.6217642836,55192.2599692508
519244943,Parcheggio,45449.55481604919,55636.699300206055
519244943,Parcheggio,46444.35110565135,55725.8611091159
519244943,Parcheggio,46471.9770280584,56453.23163661738
519244943,Parcheggio,46538.124193474185,56531.2877009167
519244943,Parcheggio,47458.76799559195,56753.89831151874
519244943,Parcheggio,48364.21953960771,56773.29520730943
519244943,Parcheggio,48390.52338120807,56866.900563317904
519244943,Ricarica,49684.55290929656,56915.820991127766
519244943,Parcheggio,49684.55290929656,56973.95923925226
519244943,Parcheggio,50006.53425945266,56981.409302257045
519244943,Ricarica,50810.34769195682,58125.61694410639
519244943,Parcheggio,50810.34769195682,58152.770780401734
519244943,Parcheggio,51092.132928490595,58236.799035764736
519244943,Parcheggio,51124.57277662544,60290.529129962946
519244943,Parcheggio,51272.50865215802,60528.142176266025
519244943,Parcheggio,51458.83985011343,60587.66618640115
519244943,Parcheggio,51523.454985800345,60691.60060776069
519244943,Parcheggio,51535.227338352575,61688.74521925229
519244943,Parcheggio,51662.822248353645,61876.13672265298
519244943,Parcheggio,52408.73005077873,62149.5718155683
519244943,Ricarica,53485.75955087499,62497.02024755476
519244943,Parcheggio,53485.75955087499,63089.74940449247
519244943,Parcheggio,53732.0133384044,64114.638376495306
519244943,Parcheggio,53757.51460863507,64139.41519098023
519244943,Parcheggio,53813.13329312913,64337.78387310285
519244943,Parcheggio,54240.298034704116,64710.337706064114
519244943,Parcheggio,54278.77655828045,65397.20090175402
519244943,Parcheggio,54585.20713455971,65984.25560112804
519244943,Parcheggio,54717.33033994251,66038.1812547715
519244943,Parcheggio,55208.95753331665,66378.51795956312
519244943,Parcheggio,55305.648746612685,66754.42634259822
519244943,Parcheggio,55614.56374163714,67146.29761387104
519244943,Parcheggio,55707.153093317414,67309.74617683323
519244943,Parcheggio,56070.81971958492,67631.51354733942
519244943,Parcheggio,56097.37618519778,68446.24112859412
519244943,Parcheggio,56373.512515524526,68756.1943600525
519244943,Parcheggio,57082.74712232286,69021.60361322673
519244943,Parcheggio,57170.37837342922,69584.79458392068
519244943,Parcheggio,57551.14657375336,69754.85583829752
519244943,Parcheggio,57860.201533294334,70775.25119452654
519244943,Parcheggio,57861.48294454665,70930.42065388191
519244943,Parcheggio,57973.461707097806,71054.50833146882
519244943,Parcheggio,58145.90161569827,71677.24140406217
519244943,Parcheggio,58419.19283068249,71825.54316405099
519244943,Parcheggio,58764.09910436388,72739.86117402586
519244943,Parcheggio,59187.467404156596,73137.75165203975
519244943,Parcheggio,59278.751154529695,73174.29657394814
519244943,Parcheggio,59480.0347120281,73225.8816870279
519244943,Parcheggio,59768.45599532935,73718.53641558591
519244943,Parcheggio,59812.490951739564,74205.1510108235
519244943,Parcheggio,60910.48148625327,74662.33531641291
519244943,Parcheggio,60990.443231123725,74712.43691884597
519244943,Ricarica,61499.639278108814,74826.70173282061
519244943,Parcheggio,61499.639278108814,75007.155796673
519244943,Parcheggio,61575.13126127899,75150.36158070646
519244943,Parcheggio,61884.69378616965,75374.68372637803
519244943,Parcheggio,61936.79931558295,75881.43204741775
519244943,Parcheggio,63106.66693270062,76143.56127988367
519244943,Parcheggio,63271.774498929924,76871.99844086081
519244943,Parcheggio,63886.69630613868,77022.12226635397
